year,quarter,recession,projection,total,impact,federal,state_local,consumption
2018,Q2,0,0,0.5291685035229922,0.18629988645720294,0.007741184328022455,0.1820306418640798,0.3393966773308899
2018,Q3,0,0,0.21947423240421637,0.3021753601452264,0.18321647177858133,-0.0655278868595966,0.10178564748523165
2018,Q4,0,0,-0.4147033938201354,0.14824858053221474,-0.031962923163994905,-0.4472970132207758,0.06455654256463535
2019,Q1,0,0,0.321197419370048,0.16378419036928016,-0.12614154427166357,0.23493181810775896,0.2124071455339526
2019,Q2,0,0,0.8502275202606255,0.2440489445536885,0.43627845986265,0.10239353156405809,0.3115555288339174
2019,Q3,0,0,0.403272194993627,0.2899984352010412,0.16985090319927726,-0.11729813278997202,0.35071942458432176
2019,Q4,1,0,0.3296043069007219,0.47607536038125553,0.3437108920115784,-0.24669622599245047,0.23258964088159398
2020,Q1,1,0,0.022991825291527573,0.4015239618616254,-0.02351814460598127,-0.07249663819006502,0.11900660808757386
2020,Q2,1,0,11.964363626175103,3.180057988340245,0.5058042336321756,-0.3923580285937514,11.850917421136678
2020,Q3,NA,1,3.060403400137586,3.8443407896262345,-7.590862840134704,4.922692961293709,5.728573278978581
2020,Q4,NA,1,1.7301551590881816,4.194478502673099,-0.110221667842091,1.476561161377538,0.3638156655527348
2021,Q1,NA,1,0.5615004369644693,4.329105655591334,-0.35652789187623013,0.7042091122024738,0.21381921663822556
2021,Q2,NA,1,-4.922901593590263,0.10728935064999279,-0.341894926966508,0.6138568780144549,-5.19486354463821
2021,Q3,NA,1,-1.6666457735456106,-1.0744729427708064,0.33061426628220975,-0.21841929520652698,-1.7788407446212935
2021,Q4,NA,1,-0.5780798735456686,-1.651531700929269,-2.3100008140551984,2.310279302216581,-0.5783583617070512
2022,Q1,NA,1,5.287744559948772,-0.4699706701831933,21.828233526297257,-21.82819648127121,5.287707514922724
2022,Q2,NA,1,4.6686798869283255,1.9279246999464537,0.1331167210534167,-0.19420724554139707,4.729770411416306
